,,CODIFICACIÓN,,,ETIQUETADO,,,,
1,"Los socialistas españoles trabajaremos por un gran pacto para la superación de la crisis y el impulso de un nuevo modelo de crecimiento altamente productivo, que apueste por sectores innovadores, que sea medioambientalmente sostenible, que cree empleo de calidad y bien protegido, que respete los derechos sindicales, que evite competencia desleal dentro de la UE con menor protección o salarios más bajos, que reparta con justicia beneficios, cargas y responsabilidades.",A401,,,,,,,
2,"Contribuir a revertir la crisis económica y de empleo actual es la primera de las prioridades de la Presidencia española de la Unión en 2010. Superar la crisis e iniciar una nueva etapa de crecimiento con nuevos y más cualificados empleos exige innovación, políticas, recursos, evitar el populismo y las tentaciones proteccionistas. No hay tampoco respuesta en el abaratamiento del despido ni en el debilitamiento de la cohesión. La hay en el aumento de nuestra competitividad, la excelencia económica, el mantenimiento del diálogo social, el avance de la igualdad y la sostenibilidad, medida no sólo en términos medioambientales sino de inclusión social. Eso distingue claramente la posición progresista de la propuesta de los conservadores.",A401,,,,,,,
3,"Para aumentar nuestra capacidad de competir hay que apostar por la innovación, el conocimiento, por las tecnologías de la información, por la educación de calidad, por la formación continua, en especial de los trabajadores, por una universidad altamente cualificada, por la creación de clusters tecnológicos, por una economía cero en carbono.",000,,,,,,,
4,"Proponemos retomar el impulso de la Estrategia de Lisboa, revisarla en 2010 y reformularla con objetivos más ambiciosos y poniendo a su disposición los medios presupuestarios necesarios que han sido recortados en el periodo que ahora concluye.",000,,,,,,,
5,"Nosotros apoyamos un ambicioso nuevo Plan de Acción energético para Europa en el horizonte de 2012, en el marco de una Política Energética Europea basada en la sostenibilidad, diversificación de las fuentes y la solidaridad entre los miembros de la Unión en los casos de crisis.",D302,,,ENERGÍA,,,,
6,"Por razones de eficiencia económica, ahorro energético, lucha contra el cambio climático, movilidad y comodidad para la ciudadanía, los socialistas apoyamos la intensa transformación del transporte en Europa, apostando por las redes ferroviarias y entre ellas por la alta velocidad, y por la comunicación intermodal que comunique competitivamente las ciudades y regiones de la Unión, en la línea del Plan Estratégico de Infraestructuras del Transporte que estamos ejecutando en España.",D402,,,SECTORES ENERGÉTICOS,,,,
7,"Los progresistas no sólo queremos crear empleo, sino empleo de calidad, incentivos a favor de los colectivos más vulnerables: mujeres de mediana edad, trabajadores de escasa cualificación, personas con discapacidad; relaciones más dinámicas entre las universidades y otros centros educativos y los recursos del sistema de protección social, y las empresas. En este sentido, proponemos la consolidación de un “Erasmus” laboral o un Programa Europeo de FP y la priorización de empleos en educación, sanidad, servicios sociales, atención a la dependencia y en la llamada economía verde.",C102,,,IGUALDAD DE GÉNERO,DIVERSIDAD FUNCIONAL,REGULACIÓN,,
8,"De todos los retos que afronta el mundo actual, el que más nos compromete a todos es el del cambio climático. Aquí nos jugamos mucho más que el futuro, nos arriesgamos incluso a que no haya futuro. Aunque abundan los negacionistas del cambio climático entre las filas conservadoras, los socialistas somos plenamente conscientes de la necesidad de dar un giro hacia el color verde de nuestro sistema productivo y de nuestra forma de vida. Queremos que Europa sea la vanguardia, asuma compromisos y actúe de acicate y ejemplo para dejar un legado sostenible a los más jóvenes.",A102,,,MEDIOS DE PRODUCCIÓN,EFICIENCIA CONSUMO,,,
9,"La Unión debe asumir la iniciativa para alcanzar, en la cumbre de Naciones Unidas a finales de 2009 en Copenhague, un acuerdo global de reducción de emisiones. Los socialistas españoles promoveremos que Europa esté dispuesta a llegar, como mínimo, al 30%, tendiendo al 40%, en el horizonte de 2020, siempre que asuman compromisos equivalentes los grandes emisores industrializados. Apoyamos la transferencia de tecnología a los países en desarrollo para luchar contra el cambio climático.",D202,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,,
10,"Los socialistas españoles entendemos que no es posible plantear ninguna estrategia de sostenibilidad basada en una economía verde que no pase por asentar los equilibrios entre conservación y explotación del medio ambiente y el protagonismo del medio rural, la defensa de la biodiversidad, la protección del patrimonio natural. Abogamos por una Estrategia Europea de Desarrollo Rural en la línea de la ley española de desarrollo Sostenible del Medio Rural, instrumento además imprescindible para luchar contra el éxodo crónico que desequilibra el desarrollo europeo..",D302,,,ECONOMÍA E INCENTIVOS,,,,
11,"Los socialistas españoles queremos contribuir a generar un gran pacto por el agua que no entienda de fronteras y que pase a formar parte, junto con la energía, del catálogo de políticas de seguridad estratégica de la UE, así como parte sustancial del mecanismo de solidaridad en la cooperación por el desarrollo.",D302,,,AGUA,,,,
12,"Por medio del diálogo y de los pactos sociales, los socialistas combatiremos esos riesgos, trabajaremos por la garantía de las condiciones de vida y capacidad adquisitiva de los ciudadanos con la defensa de salarios, derechos sociales en igualdad de condiciones para todos los trabajadores de la Unión, el logro de la igualdad laboral y salarial entre hombres y mujeres, el impulso de la formación, en especial para los jóvenes, la provisión de prestaciones sociales, en especial para los mayores, todo ello a través de un Estado del bienestar activo y dinámico que actúe como dinamizador externo para los agentes económicos y sociales y luche contra la transmisión intergeneracional de las desigualdades sociales a través de la formación y el crecimiento del capital humano.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
13,"Necesitamos un Pacto Social Europeo de Progreso, una nueva agenda social europea que rompa y supere el bloqueo que hemos padecido en el último periodo por la oposición de la mayoría conservadora: fijación y garantía de estándares educativos, sanitarios, sociales, acceso a los servicios públicos, políticas contra la discriminación; políticas fiscales suficientes para sostener el Estado del Bienestar. Ese Pacto Social es imprescindible para proteger a quien resulta más dañado por la recesión. Actuaremos para ello junto con los interlocutores sociales, en especial con los sindicatos.",B102,,,ACCESO,EDUCACIÓN,SERVICIOS SANITARIOS,,
14,"Combatir la crisis económica y de empleo, cambiar el modelo de crecimiento, fortalecer el modelo social, cooperar al desarrollo en el mundo, exige una mayor dimensión presupuestaria. La Presidencia española de 2010 va a emplearse en la revisión del marco plurianual del Presupuesto de la UE, con visión europea y en función de las nuevas prioridades. Los españoles sabemos que la cohesión es el factor más potente de integración y construcción europea real. En consecuencia, apoyaremos firmemente la solidez de la política de cohesión con el apoyo presupuestario suficiente.",A402,,,,,,,
15,"El mantenimiento de una Política Agrícola Común (PAC), una vez que ha sido reformulada y modernizada, sigue siendo beneficiosa para el conjunto de la UE, y en particular para España, con extensas zonas rurales con rentas aún alejadas de los de otros sectores. La PAC adquiere cada vez más relevancia por su impacto positivo sobre el medio ambiente, la gestión sostenible de los recursos naturales y la seguridad alimentaria. Por ello, estamos a favor de que se mantenga una PAC consistente, debidamente presupuestada, alejada de las tentaciones renacionalizadoras, que sea plenamente compatible con una participación equilibrada de los países menos desarrollados en el comercio mundial.",A201,,,PAC,FINANCIACIÓN,MEDIDAS DE MERCADO,,
16,"El sistema financiero global se ha manifestado claramente ineficiente en los últimos años en la canalización de recursos hacia proyectos de inversión productiva y se ha revelado muy inestable y poco capacitado para dar una respuesta rápida y eficaz de carácter preventivo o al surgir las graves dificultades. La necesidad de abordar su cambio es inaplazable, como imprescindible es la exigencia de dejar atrás los valores y las políticas que han marcado ese erróneo itinerario. Cambiarlo en profundidad es la propuesta de los socialistas. Solventar a corto plazo los problemas actuales para volver pronto a lo que nos ha llevado a su casi colapso es la intención expresa u oculta de los conservadores.",C102,,,SISTEMA FINANCIERO,,,,
17,"Defendemos una regulación que alcance a todos los actores del mercado y a sus distintas actividades, y que sea coordinada y armonizada a nivel internacional, por lo que, en tanto no exista un regulador financiero global, proponemos avanzar rápidamente en estrechar la colaboración de los reguladores que supervisan mercados interconectados.",000,,,,,,,
18,"Hemos de asegurar la participación intensa de Europa en el nuevo Consejo de Estabilidad Financiera. La UE tiene que tener un protagonismo fuerte y con una voz común en la necesaria reforma de las estructuras y organismos actuales del sistema financiero internacional: Banco Mundial, Fondo Monetario Internacional y Organización Mundial del Comercio.",000,,,,,,,
19,"Propondremos tratamientos preferenciales para aquellas entidades financieras que adopten códigos de conducta y políticas de buen gobierno corporativo, que mantengan en un nivel honesto las retribuciones de sus consejeros y directivos y que contemplen la participación de los trabajadores en los beneficios generados. Proponemos impedir la existencia de blindajes en las empresas de capital público o con ayudas públicas a su pervivencia, así como la drástica limitación de los mismos y de las remuneraciones excesivas en las empresas privadas.",000,,,,,,,
20,"Tal y como el Gobierno español ha propuesto en las distintas reuniones internacionales dirigidas a reformar el sistema financiero, los socialistas defendemos el fin y la desaparición de los paraísos fiscales. A la vez, proponemos la supresión del secreto bancario y el establecimiento de sanciones para los Estados que lo mantengan y se resistan a colaborar en la transparencia internacional.",000,,,,,,,
21,"Los socialistas españoles tenemos muy claro qué Europa queremos: una sociedad más libre e igualitaria y, por tanto, más justa y fuerte. La UE debe ser un espacio de vida en común caracterizado por la libertad, la igualdad de oportunidades, la preservación del medioambiente, los derechos sociales y laborales y el pleno respeto a las opciones ideológicas, sexuales o religiosas de cada cual. Aspiramos a que la ciudadanía europea viva orgullosa de su unión en la diversidad, respetando las diferencias, buscando la cooperación mutua y la solidaridad. Defendemos la inclusión, y aspiramos a la plena integración en nuestras sociedades, de los residentes no comunitarios, evitando su discriminación en el disfrute de derechos y libertades.",C102,,,"VALORES, DERECHOS Y LIBERTADES",INTEGRACIÓN,,,
22,"En tiempos difíciles, hace falta dar pasos adelante y asegurar el derecho a la vivienda, al trabajo, a la educación, a la salud o, en definitiva, al derecho a una vida digna. Por ello, los socialistas debemos de ser fuertes en Europa para combatir modelos sociales basados en una jornada laboral de 65 horas, despido barato y precariedad en el empleo.",B102,,,ACCESO,EDUCACIÓN,SERVICIOS SANITARIOS,,
23,"Los derechos fundamentales en Europa se expresan, muy a menudo, a través de los servicios públicos. Determinados servicios de solidaridad constituyen su núcleo duro, como la educación, la sanidad y los servicios sociales, que han permanecido hasta el día de hoy al margen del proceso de integración europea pero cuya prestación se lleva a cabo conforme a las reglas del derecho comunitario. Sin embargo, la lógica del mercado y la competencia propugnada por algunas reglas de integración comunitaria no es compatible con estos sectores basados en el principio de solidaridad. Impulsaremos una nueva Directiva que refuerce la dimensión social del proceso de integración comunitario equilibrándola con la económica, diferenciando los denominados “servicios de interés general de naturaleza económica” de aquellos servicios de interés general no económicos como la educación, la asistencia sanitaria y los servicios sociales. Aseguraremos que los principios básicos de la prestación de servicios públicos sean la universalidad, la gratuidad o asequibilidad, la calidad y la transparencia, con independencia de la fórmula de gestión elegida para llevar a cabo la prestación.",B102,B201,,ACCESO,GESTIÓN,EDUCACIÓN,SERVICIOS SANITARIOS,INFO. SERVICIOS PÚBLICOS
24,"Propondremos una Directiva sobre el Derecho a los Servicios Sanitarios que corrija la actual propuesta conservadora que rompe la equidad, no garantiza la calidad de la atención sanitaria ni prevé la continuidad de los cuidados, creando inseguridad a los pacientes. Nuestra propuesta garantizará el derecho a la movilidad, sin barreras económicas, y el derecho a una prestación de servicios adecuados y apropiados en las mejores condiciones de calidad, seguridad y eficacia.",B102,,,ACCESO,SERVICIOS SANITARIOS,,,
25,"Creemos en una Europa netamente igualitaria. La igualdad real entre hombres y mujeres forma parte irrenunciable de los valores de la socialdemocracia. No nos resignamos a que en la Europa del S. XXI haya mujeres abocadas a elegir entre ser madres o continuar su carrera profesional. Luchamos por la universalización de la educación pública preescolar en toda la UE, como medio y precondición para poder avanzar en la consecución de la igualdad.",B103,C102,,ACCESO,EDUCACIÓN,IGUALDAD DE GÉNERO,,
26,"Para los socialistas es irrenunciable que los Estados miembros cumplan los Objetivos de Barcelona en materia de educación preescolar que fijó el Consejo Europeo en 2002: cobertura de plazas de escuelas infantiles del 33% para niños y niñas de 0 a 3 años y cobertura del 90% para menores de 3 años hasta la edad escolar, llegando al 100% de cobertura de plazas para niños/as de 3 años hasta la edad escolar y del 50% en la franja de 0 a 3 años. Reclamaremos una propuesta de Directiva sobre las trabajadoras embarazadas en la dimensión de la salud y la seguridad, especialmente en términos de prevención y evaluación de riesgos y para reforzar los derechos vinculados a la lactancia. También contribuiremos decisivamente a mejorar los derechos de las mujeres en materia de sexualidad y salud reproductiva.",B102,C102,,ACCESO,EDUCACIÓN,SALUD REPRODUCTIVA,,
27,"En muchos países de Europa los hombres carecen de derechos de permiso paterno por nacimiento y tienen mayores dificultades para optar por el trabajo a tiempo parcial. Sólo una sociedad donde los hombres compartan las responsabilidades familiares permitirá avanzar a las mujeres. Por ello, los socialistas europeos queremos impulsar la creación de un periodo mínimo común de baja por paternidad en Europa.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
28,"Los socialistas vamos a seguir liderando la lucha contra la brecha salarial de género, promoviendo desde el Parlamento Europeo medidas antidiscriminatorias más duras y efectivas en el área laboral. También redoblaremos los esfuerzos en la lucha contra la violencia sobre las mujeres, el tráfico de seres humanos y la explotación sexual.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
29,"Los socialistas garantizaremos el cumplimiento del Pacto Europeo para la Igualdad de Género, que aspira a aumentar la participación de las mujeres en el mercado laboral y a promover la igualdad entre los hombres y las mujeres apoyándose en el proceso de Lisboa, las directrices para el crecimiento y empleo y la Hoja de Ruta para una futura política de igualdad entre mujeres y hombres, incorporando la perspectiva de género a las políticas que promuevan el acceso a la sociedad de la información.",C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
30,Impulsaremos la creación de una Carta Europea de los Derechos de las Mujeres como nuevo instrumento normativo y de referencia para promover la igualdad de género en todos y cada uno de los aspectos de la vida en sociedad.,C102,,,IGUALDAD DE GÉNERO,REGULACIÓN,,,
31,"La protección legal comunitaria de la igualdad es todavía claramente insuficiente. Los socialistas queremos una Europa diversa, plural y tolerante, en la que nadie sea discriminado por materia de género, origen racial o étnico, religión o convicciones, edad, discapacidad, orientación e identidad sexual. Desde el PSOE estamos liderando un profundo cambio en nuestro país a favor de la igualdad, la no discriminación y la extensión de más derechos a más ciudadanos, incluido el matrimonio entre personas del mismo sexo. Para seguir avanzando hace falta impulsar nuevos cambios desde las propias instituciones de la Europa comunitaria.",C103,,,"VALORES, DERECHOS Y LIBERTADES",LGBT,REGULACIÓN,,
32,"Los socialistas vamos a completar el marco legal de antidiscriminación en la UE impulsando la aprobación de una Directiva sobre igualdad de trato por razón de origen racial o étnico, religión o convicciones, edad, discapacidad, orientación e identidad sexual que incluya, otros campos diferentes del empleo, ya cubierto desde 2000. El primer paso en la aprobación de esta Directiva ha sido dado recientemente en la Eurocámara con los votos en contra del PP.",C102,,,FORMAS DE DISCRIMINACIÓN,REGULACIÓN,,,
33,"Especialmente grave es la situación de las mujeres con discapacidad, que sufren una doble discriminación. Por ello, contribuiremos a elaborar un plan de acción específico europeo 2009-2013 sobre mujeres y niñas con discapacidad, que recoja esta perspectiva en todas las políticas competencia de la UE. En el campo de la accesibilidad, apoyaremos el establecimiento a partir de 2010 de una Capital Europea de la Accesibilidad Universal.",C102,,,IGUALDAD DE GÉNERO,FORMAS DE DISCRIMINACIÓN,REGULACIÓN,DIVERSIDAD FUNCIONAL,
34,"Queda todavía mucho por hacer en materia de educación, empleo, formación, ocio, salud, fiscalidad. Europa debe comprometerse en todos estos ámbitos a ser sensible a los derechos de las personas con discapacidad. Por ello, somos partidarios también de incluir a las organizaciones representativas de la discapacidad en todos los órganos de participación y consulta de la UE que traten cuestiones de su interés.",C102,,,DIVERSIDAD FUNCIONAL,REGULACIÓN,,,
35,"Otro de los colectivos más vulnerables es, sin duda, la infancia, sobre la que trabajaremos favoreciendo el empleo de las madres, combatiendo la explotación económica y todo tipo de abusos. Integraremos los derechos de la infancia en todas las políticas de la UE.",000,,,,,,,
36,"En las naciones más desarrolladas las personas mayores de 65 años eran en 1950 el 8% de la población, ahora son el 14% y en el año 2050 serán casi el 25% de todos los habitantes. El nuevo papel social de las personas mayores a través del trabajo voluntario les permite transmitir su experiencia y conocimientos, cuidar a sus familias y convertirse en un objeto activo y participativo de la economía. Hemos de seguir avanzado en la integración de estas personas, en su atención sociosanitaria y en su interacción en una sociedad dinámica y longeva sin discriminación generacional. Los socialistas promoveremos un programa europeo para que las personas mayores puedan en condiciones ventajosas visitar y conocer otros países de la UE.",000,,,,,,,
37,"La creación de los Fondos Europeos para el retorno, los refugiados, las fronteras exteriores y la integración, así como el nacimiento de la Agencia Europea FRONTEX, son el resultado directo de la iniciativa del Gobierno socialista español y constituyen un buen ejemplo del tipo de política que los socialistas debemos impulsar a escala europea. Una política que, a pesar de los sobrecogedores dramas que todavía provocan los flujos irregulares, ha permitido reducir la inmigración ilegal y ha generado resultados especialmente visibles en Canarias, Ceuta y Melilla, así como en la zona del Estrecho. Nos comprometemos a seguir impulsando el despliegue de la Policía Común de Fronteras en Europa.",000,,,,,,,
38,"A nivel de Gobierno de España, los socialistas hemos impulsado una ejemplar política de cooperación con el continente africano, que ha multiplicado los recursos aportados a la lucha contra la pobreza, uno de cuyos máximos exponentes se sitúa en la creación de escuelas taller en algunos países del continente. Los socialistas españoles nos comprometemos a impulsar este tipo de políticas a escala europea, de manera que se conviertan en una prioridad máxima de la Unión. También promoveremos a nivel europeo un nuevo mecanismo para que por cada ciudadano cualificado procedente de un país en vías de desarrollo que llegue a Europa, se envíen fondos con un complemento adicional a los países de origen para ayudar a su sistema educativo, en la línea de cooperación con África impulsada por el Gobierno de España. Así mismo, prestaremos especial atención al codesarrollo.",000,,,,,,,
39,"Por último, hay que garantizar el derecho de asilo en todo el territorio de la Unión y adoptar medidas eficaces para diferenciar los inmigrantes económicos de aquellas personas que necesitan protección internacional. Los socialistas españoles defendemos unos criterios y una legislación común de asilo para toda Europa y unas condiciones de vida para los demandantes de asilo equivalentes a las de los nacionales.",000,,,,,,,
40,"Los socialistas españoles nos comprometemos a perfeccionar y reforzar los medios de EUROPOL, facilitando el intercambio de información entre las autoridades de los Estados miembros. Nos comprometemos también a agilizar la cooperación para la persecución de la criminalidad transnacional. Asimismo, estamos plenamente convencidos del papel determinante que incumbe a EUROJUST en este ámbito.",000,,,,,,,
41,"En materia de terrorismo, proponemos una estrategia proactiva, y no solo reactiva como sostienen los conservadores, que nos proteja frente a atentados, que persiga a los terroristas, que responda a las emergencias y que atienda y reconozca a las víctimas. Una estrategia que afronte, asimismo, la solución de los factores de cultivo y la prevención de la radicalización y la captación. Los socialistas defendemos la irrenunciable defensa de los derechos humanos y el escrupuloso respeto del derecho y la legalidad internacional, justamente lo contrario de la existencia de cárceles secretas o las prácticas degradantes de la condición humana.",C101,,,"VALORES, DERECHOS Y LIBERTADES",SEGURIDAD,,,
42,"En estos tiempos de crisis económica y de cambio político en la sociedad internacional, sólo una Europa fuerte y progresista estará capacitada para contribuir a la construcción de la paz, el diálogo, la cooperación y el desarrollo. Necesitamos fortalecer el papel de Europa como actor global para seguir construyendo un mundo en paz, más justo y solidario. La Presidencia española de la UE será nuestra oportunidad para imprimir un impulso definitivo a la dimensión política de lo que somos: la primera potencia económica y comercial, que ha logrado construir el sistema de paz y seguridad más exitoso de la historia contemporánea.",C101,,,"VALORES, DERECHOS Y LIBERTADES",RELACIONES INTERNACIONALES,,,
43,"España asumirá la Presidencia de la Unión Europea en el primer semestre de 2010 con la urgente prioridad de desarrollar una respuesta coordinada a la crisis financiera y económica. Pero no nos vale cualquier respuesta. Los socialistas queremos que la posición de Europa en el mundo marque un horizonte de progreso y consolide la pervivencia del modelo social que nos identifica. Trabajaremos para dotarla de una voluntad y de una potente voz común ante los grandes retos que tenemos por delante, así como de los medios necesarios para una eficaz unidad de acción en su política exterior y de seguridad. Una Presidencia, asimismo, para estrechar lazos y ampliar relaciones entre la Unión y otras áreas regionales o países del mundo y, en particular, con el Mediterráneo, América Latina y África.",000,,,,,,,
44,"Nos proponemos coger ritmo vivo para ejercer una Presidencia vigorosa y transformadora. Aprovecharemos el ímpetu de la nueva administración norteamericana y de la entrada en vigor del Tratado de Lisboa y sus nuevos mecanismos políticos e institucionales. Nos proponemos trabajar firmemente para derrotar al euroescepticismo, para combatir el atrincheramiento nacionalista antieuropeo o el ciego aislacionismo promovidos en los últimos tiempos por la mayoría de las fuerzas conservadoras.",000,,,,,,,
45,"Queremos organizaciones internacionales más representativas, con modos de decidir más democráticos, con la eficacia añadida que otorga la mayor legitimidad, con las capacidades y recursos necesarios para responder a lo que se reclama de ellas. Atribuimos a la ONU el papel clave del sistema multilateral y proponemos mejoras en su representatividad y más competencias para actuar, otorgándole más eficacia. Apoyamos reformas tendentes a reforzar el papel esencial del Consejo de Seguridad en el mantenimiento de la paz y la seguridad, revisar el ejercicio del derecho de veto y fortalecer al Consejo Económico y Social.",000,,,,,,,
46,"Vamos a trabajar intensamente desde la UE para fortalecer la justicia internacional y los derechos humanos, mejorando la eficacia del Tribunal Penal Internacional.",C102,,,"VALORES, DERECHOS Y LIBERTADES",REGULACIÓN,,,
47,"En cuanto a la arquitectura financiera global, en línea con lo acordado por los líderes mundiales, proponemos remodelar el Fondo Monetario Internacional, el Banco Mundial y la Organización Mundial del Comercio, redistribuyendo el poder de decisión que hoy concentran las potencias que les dieron origen. Proponemos el refuerzo de los vínculos entre la Organización Mundial del Comercio, la Organización Internacional del Trabajo y la Conferencia de Naciones Unidas para el Comercio y el Desarrollo.",000,,,,,,,
48,"En un mundo que padece de manera crónica severas crisis alimentarias en muchas de sus regiones, consideramos imprescindible dotar de una dimensión mucho mayor al Fondo de Naciones Unidas para la Alimentación (FAO).Vamos a promover, tal como se aprobó en la Conferencia sobre la agricultura de Madrid, una Alianza Global por la Agricultura, la Seguridad Alimentaria y la Nutrición, que englobe a todos los actores involucrados en la producción de alimentos y que sirva como plataforma para abordar de una vez por todas la erradicación del hambre en el mundo.",A202,,,CONDICIONALIDAD,,,,
49,"Necesitamos fortalecer a la UE en el exterior dotándola de más capacidad de análisis estratégico, prevención de conflictos y alerta rápida, más capacidad en el manejo de las crisis y en la estabilización y resolución de conflictos. Debemos trabajar conjuntamente con otros actores. Seguiremos asumiendo responsabilidades tales como proteger a poblaciones del genocidio, los crímenes de guerra, la limpieza étnica, los crímenes contra la humanidad o la violencia sexual como arma de guerra. Proyectar a la Unión como una fuerza en marcha a favor de un mundo más justo, más unido, y, con ello, más seguro.",C101,,,"VALORES, DERECHOS Y LIBERTADES",RELACIONES INTERNACIONALES,,,
50,"Los socialistas españoles apoyamos el refuerzo de las competencias de la Eurocámara en seguridad y defensa. Proponemos implicar a la sociedad, a las organizaciones civiles, a los ciudadanos, en estos objetivos. Apoyamos más intervención directa del Parlamento en el desarrollo de las capacidades de observación, diálogo y mediación de la Unión.",000,,,,,,,
51,"Los socialistas españoles queremos trabajar, desde la Eurocámara, por un mundo sin armas nucleares, por la eliminación completa en todo el mundo de las bombas de racimo y las minas antipersonas, por la aplicación de un Código de Conducta de la UE relativo a la exportación de armamento, por la moratoria mundial de la pena de muerte.",000,,,,,,,
52,"La Presidencia española de 2010 tendrá una intensa vocación euro-americana y dará una importancia central a la relación de la UE con América Latina y el Caribe. Vamos a poner todo nuestro empeño en que la VI Cumbre Europa-Latinoamérica y el Caribe suponga un salto cualitativo en esa relación, movilizando los Foros civil, sindical, empresarial, de alcaldes, así como la Asamblea Parlamentaria Eurolatinoamericana. Apoyamos las negociaciones con vistas a la firma de acuerdos de asociación entre la UE y las regiones latinoamericanas.",000,,,,,,,
53,"Queremos ayudar al relanzamiento de una relación positiva entre EEUU y Latinoamérica, sustancialmente mermada en el último periodo. La Asociación Trasatlántica sigue siendo insustituible para la seguridad europea y Europa debe prepararse mejor para asumir sus propias responsabilidades y dotarse de las capacidades para ejercerlas. Apoyamos el trabajo dirigido a que la cumbre entre la UE y EEUU, a celebrar en la primavera de 2010, apruebe una Agenda Trasatlántica Renovada. Tenemos la oportunidad de aprovechar el nuevo escenario que se acaba de abrir en los EEUU, que amplía extraordinariamente el campo de convergencia con la UE. Ese aprovechamiento será más fructífero si los progresistas obtenemos mayoría en Europa, desplazando de la misma a quienes precisamente han venido manteniendo posiciones identificadas con las de los neoconservadores de la administración republicana.",000,,,,,,,
54,"Ya impulsamos en los 90 el Proceso de Barcelona, estamos comprometidos con intensificar esa relación, apoyando la Unión por el Mediterráneo -cuya Secretaría, gracias al esfuerzo del Gobierno, se establecerá en Barcelona- orientada a fortalecer la institucionalidad y la cooperación norte-sur y sur-sur con el fin de promover la democracia y el respeto a los derechos humanos, el desarrollo económico sostenible, la lucha contra la pobreza y la preservación del medio ambiente. Trabajaremos para que active rápidamente sus estructuras y se dote presupuestariamente. Promoveremos la creación de un Banco Euromediterráneo, el fortalecimiento de la Asamblea Parlamentaria Euromediterránea y su interrelación con la Alianza de Civilizaciones.",C101,,,"VALORES, DERECHOS Y LIBERTADES",RELACIONES INTERNACIONALES,,,
55,"La Presidencia española de 2010 organizará la Conferencia de Autoridades locales y regionales, el Encuentro civil Euromed, el Foro empresarial Euromed y la Conferencia de Mujeres, y la reunión de la Asamblea Parlamentaria Euromed. Y promoverá la profundización en el Estatuto Avanzado de Asociación con Marruecos ya alcanzado.",000,,,,,,,
56,"Los socialistas tenemos como objetivo estratégico el apoyo a una paz justa en Oriente Próximo. Sostenemos la existencia de dos Estados, con fronteras internacionalmente reconocidas, lo que comporta la creación de un Estado palestino independiente y democrático, que viva en paz y respeto mutuo con Israel. Queremos desterrar de Oriente Medio las armas de destrucción masiva, lo que exige trabajar también en una vía dialogada con Irán. Apoyamos, asimismo, una solución justa, aceptable por las partes y duradera para el Sahara Occidental, de acuerdo con las Resoluciones de la ONU.",000,,,,,,,
57,"Apoyamos el desarrollo general de la Política de Vecindad. El objetivo es promover prosperidad y estabilidad en muchos países, esencial para la seguridad europea, la movilidad de los ciudadanos y la provisión energética.",D302,,,ENERGÍA,,,,
58,Estamos a favor del ingreso de Croacia y Turquía en la Unión una vez que se cumplan los criterios de Copenhague y culminen las negociaciones en marcha.,C102,,,ACUERDO ADHESIÓN,,,,
59,"Consideramos un deber moral la intensificación de las relaciones con África. Estamos comprometidos con los problemas de prevención o atención a conflictos, de desarrollo, democratización o de mera supervivencia que padece. Proponemos fortalecer el Diálogo Político Global UE-África, y el desarrollo de la Estrategia Conjunta UE-África aprobada en la Cumbre de Lisboa. Apoyamos los esfuerzos por la integración regional.",000,,,,,,,
60,"Sostenemos que los problemas ocasionados por la crisis no deben llevar al abandono de la agenda de los compromisos con la ayuda al desarrollo, sino que la hace aún más imperiosa y urgente. Es más, sostenemos que su cumplimiento constituye también una política contra la crisis.",000,,,,,,,
61,"España se ha comprometido a alcanzar el 0.7% del PIB en ayuda al desarrollo en 2012. Nuestra prioridad en el Parlamento Europeo también son luchar contra la pobreza, poner todos los medios para que se cumplan en tiempo los Objetivos de Desarrollo del Milenio, y alcanzar para Europa, el 0’7% del PIB en la ayuda oficial al desarrollo en el plazo de 2015.",000,,,,,,,
62,"Pretendemos atender a las crisis alimentarias, asistir a poblaciones desplazadas, dirigir nuestras acciones hacia los países mas necesitados, concentrarlas en estructuras y apoyos a servicios sociales básicos, en especial la educación y la sanidad. Pero también asumir la condonación de deuda vinculada a desarrollo; compensar el impacto que supone para los países pobres la pérdida de su capital humano más formado y dinámico; promover el trabajo digno y el comercio justo; impulsar las políticas orientadas a la igualdad de género; exigir la responsabilidad social de nuestras empresas; fortalecer las instituciones democráticas y la gobernabilidad; comprometer a Europa con la cooperación en materia de discapacidad. Apoyamos la creación de un Cuerpo Voluntario Europeo de Ayuda Humanitaria.",C102,,,RELACIONES INTERNACIONALES,COOPERACIÓN AL DESARROLLO,IGUALDAD DE GÉNERO,DIVERSIDAD FUNCIONAL,
63,"Tenemos que conseguir que la Ronda de Doha del comercio beneficie a los países en desarrollo y su desarrollo sostenible e integración en la economía mundial, y que los acuerdos de asociación económica con los países ACP sirvan para reducir la pobreza. Promoveremos la revisión del Consenso Europeo sobre Desarrollo, para lograr avances concretos en el reparto eficiente del esfuerzo desarrollado por los donantes europeos, en línea con el Código de Conducta sobre complementariedad y división del trabajo.",000,,,,,,,
